University,Topic,Question,Expected_Answer
VIT Bhopal,Placements,What is the highest placement package at VIT Bhopal?,The highest placement package at VIT Bhopal is 20.7 Lakh Per Annum.
VIT Bhopal,Facilities,Does VIT Bhopal have a hostel and what is the fee?,"Yes, VIT Bhopal has a hostel for both boys and girls. The fee is 65520 and the mess fee is 44837."
VIT Bhopal,Facilities,What are the library timings for VIT Bhopal?,The library timings for VIT Bhopal are 8:00 AM to 8:00 PM.
VIT Bhopal,Academics,What is the attendance rule at VIT Bhopal?,The attendance rule at VIT Bhopal is Minimum 75% attendance mandatory.
Bundelkhand University,Fees,What is the tuition fee for Bundelkhand University?,The tuition fee for Bundelkhand University is 50042 per semester.
Bundelkhand University,Placements,What is the highest placement package at Bundelkhand University?,The highest placement package at Bundelkhand University is 15.5 Lakh Per Annum.
Bundelkhand University,Facilities,Does Bundelkhand University have a hostel and what is the fee?,"Yes, Bundelkhand University has a hostel for both boys and girls. The fee is 82416 and the mess fee is 25655."
Bundelkhand University,Facilities,What are the library timings for Bundelkhand University?,The library timings for Bundelkhand University are 8:00 AM to 8:00 PM.
Bundelkhand University,Academics,What is the attendance rule at Bundelkhand University?,The attendance rule at Bundelkhand University is Minimum 75% attendance mandatory.
University of Burdwan,Fees,What is the tuition fee for University of Burdwan?,The tuition fee for University of Burdwan is 94554 per semester.
University of Burdwan,Placements,What is the highest placement package at University of Burdwan?,The highest placement package at University of Burdwan is 37.6 Lakh Per Annum.
University of Burdwan,Facilities,Does University of Burdwan have a hostel and what is the fee?,"Yes, University of Burdwan has a hostel for both boys and girls. The fee is 66473 and the mess fee is 33047."
University of Burdwan,Facilities,What are the library timings for University of Burdwan?,The library timings for University of Burdwan are 8:00 AM to 8:00 PM.
University of Burdwan,Academics,What is the attendance rule at University of Burdwan?,The attendance rule at University of Burdwan is Minimum 75% attendance mandatory.
University of Calcutta,Fees,What is the tuition fee for University of Calcutta?,The tuition fee for University of Calcutta is 122737 per semester.
University of Calcutta,Placements,What is the highest placement package at University of Calcutta?,The highest placement package at University of Calcutta is 15.6 Lakh Per Annum.
University of Calcutta,Facilities,Does University of Calcutta have a hostel and what is the fee?,"Yes, University of Calcutta has a hostel for both boys and girls. The fee is 58506 and the mess fee is 40816."
University of Calcutta,Facilities,What are the library timings for University of Calcutta?,The library timings for University of Calcutta are 8:00 AM to 8:00 PM.
University of Calcutta,Academics,What is the attendance rule at University of Calcutta?,The attendance rule at University of Calcutta is Minimum 75% attendance mandatory.
Central Agricultural University,Fees,What is the tuition fee for Central Agricultural University?,The tuition fee for Central Agricultural University is 60519 per semester.
Central Agricultural University,Placements,What is the highest placement package at Central Agricultural University?,The highest placement package at Central Agricultural University is 18.0 Lakh Per Annum.
Central Agricultural University,Facilities,Does Central Agricultural University have a hostel and what is the fee?,"Yes, Central Agricultural University has a hostel for both boys and girls. The fee is 50056 and the mess fee is 40990."
Central Agricultural University,Facilities,What are the library timings for Central Agricultural University?,The library timings for Central Agricultural University are 8:00 AM to 8:00 PM.
Central Agricultural University,Academics,What is the attendance rule at Central Agricultural University?,The attendance rule at Central Agricultural University is Minimum 75% attendance mandatory.
Chaudhary Charan Singh University,Fees,What is the tuition fee for Chaudhary Charan Singh University?,The tuition fee for Chaudhary Charan Singh University is 122913 per semester.
Chaudhary Charan Singh University,Placements,What is the highest placement package at Chaudhary Charan Singh University?,The highest placement package at Chaudhary Charan Singh University is 41.4 Lakh Per Annum.
Chaudhary Charan Singh University,Facilities,Does Chaudhary Charan Singh University have a hostel and what is the fee?,"Yes, Chaudhary Charan Singh University has a hostel for both boys and girls. The fee is 80051 and the mess fee is 26052."
Chaudhary Charan Singh University,Facilities,What are the library timings for Chaudhary Charan Singh University?,The library timings for Chaudhary Charan Singh University are 8:00 AM to 8:00 PM.
Chaudhary Charan Singh University,Academics,What is the attendance rule at Chaudhary Charan Singh University?,The attendance rule at Chaudhary Charan Singh University is Minimum 75% attendance mandatory.
Ch. Charan Singh University,Fees,What is the tuition fee for Ch. Charan Singh University?,The tuition fee for Ch. Charan Singh University is 126157 per semester.
Ch. Charan Singh University,Placements,What is the highest placement package at Ch. Charan Singh University?,The highest placement package at Ch. Charan Singh University is 32.7 Lakh Per Annum.
Ch. Charan Singh University,Facilities,Does Ch. Charan Singh University have a hostel and what is the fee?,"Yes, Ch. Charan Singh University has a hostel for both boys and girls. The fee is 62902 and the mess fee is 43538."
Ch. Charan Singh University,Facilities,What are the library timings for Ch. Charan Singh University?,The library timings for Ch. Charan Singh University are 8:00 AM to 8:00 PM.
Ch. Charan Singh University,Academics,What is the attendance rule at Ch. Charan Singh University?,The attendance rule at Ch. Charan Singh University is Minimum 75% attendance mandatory.
Center for Entrepreneurship and Small Business Management,Fees,What is the tuition fee for Center for Entrepreneurship and Small Business Management?,The tuition fee for Center for Entrepreneurship and Small Business Management is 117459 per semester.
Center for Entrepreneurship and Small Business Management,Placements,What is the highest placement package at Center for Entrepreneurship and Small Business Management?,The highest placement package at Center for Entrepreneurship and Small Business Management is 30.1 Lakh Per Annum.
Center for Entrepreneurship and Small Business Management,Facilities,Does Center for Entrepreneurship and Small Business Management have a hostel and what is the fee?,"Yes, Center for Entrepreneurship and Small Business Management has a hostel for both boys and girls. The fee is 77922 and the mess fee is 31873."
Center for Entrepreneurship and Small Business Management,Facilities,What are the library timings for Center for Entrepreneurship and Small Business Management?,The library timings for Center for Entrepreneurship and Small Business Management are 8:00 AM to 8:00 PM.
Center for Entrepreneurship and Small Business Management,Academics,What is the attendance rule at Center for Entrepreneurship and Small Business Management?,The attendance rule at Center for Entrepreneurship and Small Business Management is Minimum 75% attendance mandatory.
Christ University,Fees,What is the tuition fee for Christ University?,The tuition fee for Christ University is 87928 per semester.
Christ University,Placements,What is the highest placement package at Christ University?,The highest placement package at Christ University is 19.0 Lakh Per Annum.
Christ University,Facilities,Does Christ University have a hostel and what is the fee?,"Yes, Christ University has a hostel for both boys and girls. The fee is 68590 and the mess fee is 27286."
Christ University,Facilities,What are the library timings for Christ University?,The library timings for Christ University are 8:00 AM to 8:00 PM.
Christ University,Academics,What is the attendance rule at Christ University?,The attendance rule at Christ University is Minimum 75% attendance mandatory.
Central Institute of English and Foreign Languages,Fees,What is the tuition fee for Central Institute of English and Foreign Languages?,The tuition fee for Central Institute of English and Foreign Languages is 48852 per semester.
Central Institute of English and Foreign Languages,Placements,What is the highest placement package at Central Institute of English and Foreign Languages?,The highest placement package at Central Institute of English and Foreign Languages is 31.0 Lakh Per Annum.
Central Institute of English and Foreign Languages,Facilities,Does Central Institute of English and Foreign Languages have a hostel and what is the fee?,"Yes, Central Institute of English and Foreign Languages has a hostel for both boys and girls. The fee is 73454 and the mess fee is 39189."
Central Institute of English and Foreign Languages,Facilities,What are the library timings for Central Institute of English and Foreign Languages?,The library timings for Central Institute of English and Foreign Languages are 8:00 AM to 8:00 PM.
Central Institute of English and Foreign Languages,Academics,What is the attendance rule at Central Institute of English and Foreign Languages?,The attendance rule at Central Institute of English and Foreign Languages is Minimum 75% attendance mandatory.
Central Institute of Fisheries Education,Fees,What is the tuition fee for Central Institute of Fisheries Education?,The tuition fee for Central Institute of Fisheries Education is 55537 per semester.
Central Institute of Fisheries Education,Placements,What is the highest placement package at Central Institute of Fisheries Education?,The highest placement package at Central Institute of Fisheries Education is 30.9 Lakh Per Annum.
Central Institute of Fisheries Education,Facilities,Does Central Institute of Fisheries Education have a hostel and what is the fee?,"Yes, Central Institute of Fisheries Education has a hostel for both boys and girls. The fee is 74389 and the mess fee is 37825."
Central Institute of Fisheries Education,Facilities,What are the library timings for Central Institute of Fisheries Education?,The library timings for Central Institute of Fisheries Education are 8:00 AM to 8:00 PM.
Central Institute of Fisheries Education,Academics,What is the attendance rule at Central Institute of Fisheries Education?,The attendance rule at Central Institute of Fisheries Education is Minimum 75% attendance mandatory.
Central Institute of Higher Tibetan Studies,Fees,What is the tuition fee for Central Institute of Higher Tibetan Studies?,The tuition fee for Central Institute of Higher Tibetan Studies is 142853 per semester.
Central Institute of Higher Tibetan Studies,Placements,What is the highest placement package at Central Institute of Higher Tibetan Studies?,The highest placement package at Central Institute of Higher Tibetan Studies is 39.6 Lakh Per Annum.
Central Institute of Higher Tibetan Studies,Facilities,Does Central Institute of Higher Tibetan Studies have a hostel and what is the fee?,"Yes, Central Institute of Higher Tibetan Studies has a hostel for both boys and girls. The fee is 67585 and the mess fee is 38233."
Central Institute of Higher Tibetan Studies,Facilities,What are the library timings for Central Institute of Higher Tibetan Studies?,The library timings for Central Institute of Higher Tibetan Studies are 8:00 AM to 8:00 PM.
Central Institute of Higher Tibetan Studies,Academics,What is the attendance rule at Central Institute of Higher Tibetan Studies?,The attendance rule at Central Institute of Higher Tibetan Studies is Minimum 75% attendance mandatory.
CMJ University,Fees,What is the tuition fee for CMJ University?,The tuition fee for CMJ University is 106553 per semester.
CMJ University,Placements,What is the highest placement package at CMJ University?,The highest placement package at CMJ University is 33.7 Lakh Per Annum.
CMJ University,Facilities,Does CMJ University have a hostel and what is the fee?,"Yes, CMJ University has a hostel for both boys and girls. The fee is 79366 and the mess fee is 39896."
CMJ University,Facilities,What are the library timings for CMJ University?,The library timings for CMJ University are 8:00 AM to 8:00 PM.
CMJ University,Academics,What is the attendance rule at CMJ University?,The attendance rule at CMJ University is Minimum 75% attendance mandatory.
Chandra Shekhar Azad University of Agriculture and Technology,Fees,What is the tuition fee for Chandra Shekhar Azad University of Agriculture and Technology?,The tuition fee for Chandra Shekhar Azad University of Agriculture and Technology is 40745 per semester.
Chandra Shekhar Azad University of Agriculture and Technology,Placements,What is the highest placement package at Chandra Shekhar Azad University of Agriculture and Technology?,The highest placement package at Chandra Shekhar Azad University of Agriculture and Technology is 24.3 Lakh Per Annum.
Chandra Shekhar Azad University of Agriculture and Technology,Facilities,Does Chandra Shekhar Azad University of Agriculture and Technology have a hostel and what is the fee?,"Yes, Chandra Shekhar Azad University of Agriculture and Technology has a hostel for both boys and girls. The fee is 49370 and the mess fee is 43856."
Chandra Shekhar Azad University of Agriculture and Technology,Facilities,What are the library timings for Chandra Shekhar Azad University of Agriculture and Technology?,The library timings for Chandra Shekhar Azad University of Agriculture and Technology are 8:00 AM to 8:00 PM.
Chandra Shekhar Azad University of Agriculture and Technology,Academics,What is the attendance rule at Chandra Shekhar Azad University of Agriculture and Technology?,The attendance rule at Chandra Shekhar Azad University of Agriculture and Technology is Minimum 75% attendance mandatory.
Cochin University of Science and Technology,Fees,What is the tuition fee for Cochin University of Science and Technology?,The tuition fee for Cochin University of Science and Technology is 114880 per semester.
Cochin University of Science and Technology,Placements,What is the highest placement package at Cochin University of Science and Technology?,The highest placement package at Cochin University of Science and Technology is 27.8 Lakh Per Annum.
Cochin University of Science and Technology,Facilities,Does Cochin University of Science and Technology have a hostel and what is the fee?,"Yes, Cochin University of Science and Technology has a hostel for both boys and girls. The fee is 58330 and the mess fee is 39442."
Cochin University of Science and Technology,Facilities,What are the library timings for Cochin University of Science and Technology?,The library timings for Cochin University of Science and Technology are 8:00 AM to 8:00 PM.
Cochin University of Science and Technology,Academics,What is the attendance rule at Cochin University of Science and Technology?,The attendance rule at Cochin University of Science and Technology is Minimum 75% attendance mandatory.
Dr. C.V. Raman University,Fees,What is the tuition fee for Dr. C.V. Raman University?,The tuition fee for Dr. C.V. Raman University is 72819 per semester.
Dr. C.V. Raman University,Placements,What is the highest placement package at Dr. C.V. Raman University?,The highest placement package at Dr. C.V. Raman University is 19.4 Lakh Per Annum.
Dr. C.V. Raman University,Facilities,Does Dr. C.V. Raman University have a hostel and what is the fee?,"Yes, Dr. C.V. Raman University has a hostel for both boys and girls. The fee is 50546 and the mess fee is 28144."
Dr. C.V. Raman University,Facilities,What are the library timings for Dr. C.V. Raman University?,The library timings for Dr. C.V. Raman University are 8:00 AM to 8:00 PM.
Dr. C.V. Raman University,Academics,What is the attendance rule at Dr. C.V. Raman University?,The attendance rule at Dr. C.V. Raman University is Minimum 75% attendance mandatory.
Dhirubhai Ambani Institute of Information and Communication Technology,Fees,What is the tuition fee for Dhirubhai Ambani Institute of Information and Communication Technology?,The tuition fee for Dhirubhai Ambani Institute of Information and Communication Technology is 48551 per semester.
Dhirubhai Ambani Institute of Information and Communication Technology,Placements,What is the highest placement package at Dhirubhai Ambani Institute of Information and Communication Technology?,The highest placement package at Dhirubhai Ambani Institute of Information and Communication Technology is 41.5 Lakh Per Annum.
Dhirubhai Ambani Institute of Information and Communication Technology,Facilities,Does Dhirubhai Ambani Institute of Information and Communication Technology have a hostel and what is the fee?,"Yes, Dhirubhai Ambani Institute of Information and Communication Technology has a hostel for both boys and girls. The fee is 58718 and the mess fee is 44064."
Dhirubhai Ambani Institute of Information and Communication Technology,Facilities,What are the library timings for Dhirubhai Ambani Institute of Information and Communication Technology?,The library timings for Dhirubhai Ambani Institute of Information and Communication Technology are 8:00 AM to 8:00 PM.
Dhirubhai Ambani Institute of Information and Communication Technology,Academics,What is the attendance rule at Dhirubhai Ambani Institute of Information and Communication Technology?,The attendance rule at Dhirubhai Ambani Institute of Information and Communication Technology is Minimum 75% attendance mandatory.
Darul Huda Islamic University,Fees,What is the tuition fee for Darul Huda Islamic University?,The tuition fee for Darul Huda Islamic University is 140477 per semester.
Darul Huda Islamic University,Placements,What is the highest placement package at Darul Huda Islamic University?,The highest placement package at Darul Huda Islamic University is 43.2 Lakh Per Annum.
Darul Huda Islamic University,Facilities,Does Darul Huda Islamic University have a hostel and what is the fee?,"Yes, Darul Huda Islamic University has a hostel for both boys and girls. The fee is 58223 and the mess fee is 35850."
Darul Huda Islamic University,Facilities,What are the library timings for Darul Huda Islamic University?,The library timings for Darul Huda Islamic University are 8:00 AM to 8:00 PM.
Darul Huda Islamic University,Academics,What is the attendance rule at Darul Huda Islamic University?,The attendance rule at Darul Huda Islamic University is Minimum 75% attendance mandatory.
Dav University,Fees,What is the tuition fee for Dav University?,The tuition fee for Dav University is 2026 per semester.
Dav University,Placements,What is the highest placement package at Dav University?,The highest placement package at Dav University is 26.3 Lakh Per Annum.
Dav University,Facilities,Does Dav University have a hostel and what is the fee?,"Yes, Dav University has a hostel for both boys and girls. The fee is 2026 and the mess fee is 37324."
Dav University,Facilities,What are the library timings for Dav University?,The library timings for Dav University are 8:00 AM to 8:00 PM.
Dav University,Academics,What is the attendance rule at Dav University?,The attendance rule at Dav University is Minimum 75% attendance mandatory.
Devi Ahilya University of Indore,Fees,What is the tuition fee for Devi Ahilya University of Indore?,The tuition fee for Devi Ahilya University of Indore is 63455 per semester.
Devi Ahilya University of Indore,Placements,What is the highest placement package at Devi Ahilya University of Indore?,The highest placement package at Devi Ahilya University of Indore is 20.2 Lakh Per Annum.
Devi Ahilya University of Indore,Facilities,Does Devi Ahilya University of Indore have a hostel and what is the fee?,"Yes, Devi Ahilya University of Indore has a hostel for both boys and girls. The fee is 49255 and the mess fee is 37236."
Devi Ahilya University of Indore,Facilities,What are the library timings for Devi Ahilya University of Indore?,The library timings for Devi Ahilya University of Indore are 8:00 AM to 8:00 PM.
Devi Ahilya University of Indore,Academics,What is the attendance rule at Devi Ahilya University of Indore?,The attendance rule at Devi Ahilya University of Indore is Minimum 75% attendance mandatory.
Dr. Babasaheb Ambedkar Technological University,Fees,What is the tuition fee for Dr. Babasaheb Ambedkar Technological University?,The tuition fee for Dr. Babasaheb Ambedkar Technological University is 91154 per semester.
Dr. Babasaheb Ambedkar Technological University,Placements,What is the highest placement package at Dr. Babasaheb Ambedkar Technological University?,The highest placement package at Dr. Babasaheb Ambedkar Technological University is 23.3 Lakh Per Annum.
Dr. Babasaheb Ambedkar Technological University,Facilities,Does Dr. Babasaheb Ambedkar Technological University have a hostel and what is the fee?,"Yes, Dr. Babasaheb Ambedkar Technological University has a hostel for both boys and girls. The fee is 83093 and the mess fee is 40912."
Dr. Babasaheb Ambedkar Technological University,Facilities,What are the library timings for Dr. Babasaheb Ambedkar Technological University?,The library timings for Dr. Babasaheb Ambedkar Technological University are 8:00 AM to 8:00 PM.
Dr. Babasaheb Ambedkar Technological University,Academics,What is the attendance rule at Dr. Babasaheb Ambedkar Technological University?,The attendance rule at Dr. Babasaheb Ambedkar Technological University is Minimum 75% attendance mandatory.
Konkan Agricultural University,Fees,What is the tuition fee for Konkan Agricultural University?,The tuition fee for Konkan Agricultural University is 57227 per semester.
Konkan Agricultural University,Placements,What is the highest placement package at Konkan Agricultural University?,The highest placement package at Konkan Agricultural University is 43.4 Lakh Per Annum.
Konkan Agricultural University,Facilities,Does Konkan Agricultural University have a hostel and what is the fee?,"Yes, Konkan Agricultural University has a hostel for both boys and girls. The fee is 79612 and the mess fee is 25775."
Konkan Agricultural University,Facilities,What are the library timings for Konkan Agricultural University?,The library timings for Konkan Agricultural University are 8:00 AM to 8:00 PM.
Konkan Agricultural University,Academics,What is the attendance rule at Konkan Agricultural University?,The attendance rule at Konkan Agricultural University is Minimum 75% attendance mandatory.
Tamil Nadu Agricultural University,Fees,What is the tuition fee for Tamil Nadu Agricultural University?,The tuition fee for Tamil Nadu Agricultural University is 69744 per semester.
Tamil Nadu Agricultural University,Placements,What is the highest placement package at Tamil Nadu Agricultural University?,The highest placement package at Tamil Nadu Agricultural University is 19.5 Lakh Per Annum.
Tamil Nadu Agricultural University,Facilities,Does Tamil Nadu Agricultural University have a hostel and what is the fee?,"Yes, Tamil Nadu Agricultural University has a hostel for both boys and girls. The fee is 65360 and the mess fee is 25551."
Tamil Nadu Agricultural University,Facilities,What are the library timings for Tamil Nadu Agricultural University?,The library timings for Tamil Nadu Agricultural University are 8:00 AM to 8:00 PM.
Tamil Nadu Agricultural University,Academics,What is the attendance rule at Tamil Nadu Agricultural University?,The attendance rule at Tamil Nadu Agricultural University is Minimum 75% attendance mandatory.
Delhi College of Engineering (DCE),Fees,What is the tuition fee for Delhi College of Engineering (DCE)?,The tuition fee for Delhi College of Engineering (DCE) is 130969 per semester.
Delhi College of Engineering (DCE),Placements,What is the highest placement package at Delhi College of Engineering (DCE)?,The highest placement package at Delhi College of Engineering (DCE) is 22.7 Lakh Per Annum.
Delhi College of Engineering (DCE),Facilities,Does Delhi College of Engineering (DCE) have a hostel and what is the fee?,"Yes, Delhi College of Engineering (DCE) has a hostel for both boys and girls. The fee is 62635 and the mess fee is 39419."
Delhi College of Engineering (DCE),Facilities,What are the library timings for Delhi College of Engineering (DCE)?,The library timings for Delhi College of Engineering (DCE) are 8:00 AM to 8:00 PM.
Delhi College of Engineering (DCE),Academics,What is the attendance rule at Delhi College of Engineering (DCE)?,The attendance rule at Delhi College of Engineering (DCE) is Minimum 75% attendance mandatory.
Deen Dayal Upadhyay Gorakhpur University,Fees,What is the tuition fee for Deen Dayal Upadhyay Gorakhpur University?,The tuition fee for Deen Dayal Upadhyay Gorakhpur University is 81401 per semester.
Deen Dayal Upadhyay Gorakhpur University,Placements,What is the highest placement package at Deen Dayal Upadhyay Gorakhpur University?,The highest placement package at Deen Dayal Upadhyay Gorakhpur University is 19.9 Lakh Per Annum.
Deen Dayal Upadhyay Gorakhpur University,Facilities,Does Deen Dayal Upadhyay Gorakhpur University have a hostel and what is the fee?,"Yes, Deen Dayal Upadhyay Gorakhpur University has a hostel for both boys and girls. The fee is 49800 and the mess fee is 31209."
Deen Dayal Upadhyay Gorakhpur University,Facilities,What are the library timings for Deen Dayal Upadhyay Gorakhpur University?,The library timings for Deen Dayal Upadhyay Gorakhpur University are 8:00 AM to 8:00 PM.
Deen Dayal Upadhyay Gorakhpur University,Academics,What is the attendance rule at Deen Dayal Upadhyay Gorakhpur University?,The attendance rule at Deen Dayal Upadhyay Gorakhpur University is Minimum 75% attendance mandatory.
Deccan College Postgraduate and Research Institute,Fees,What is the tuition fee for Deccan College Postgraduate and Research Institute?,The tuition fee for Deccan College Postgraduate and Research Institute is 91746 per semester.
Deccan College Postgraduate and Research Institute,Placements,What is the highest placement package at Deccan College Postgraduate and Research Institute?,The highest placement package at Deccan College Postgraduate and Research Institute is 17.0 Lakh Per Annum.
Deccan College Postgraduate and Research Institute,Facilities,Does Deccan College Postgraduate and Research Institute have a hostel and what is the fee?,"Yes, Deccan College Postgraduate and Research Institute has a hostel for both boys and girls. The fee is 57277 and the mess fee is 27015."
Deccan College Postgraduate and Research Institute,Facilities,What are the library timings for Deccan College Postgraduate and Research Institute?,The library timings for Deccan College Postgraduate and Research Institute are 8:00 AM to 8:00 PM.
Deccan College Postgraduate and Research Institute,Academics,What is the attendance rule at Deccan College Postgraduate and Research Institute?,The attendance rule at Deccan College Postgraduate and Research Institute is Minimum 75% attendance mandatory.
COEP Technological University,Fees,What is the tuition fee for COEP Technological University?,The tuition fee for COEP Technological University is 143972 per semester.
COEP Technological University,Placements,What is the highest placement package at COEP Technological University?,The highest placement package at COEP Technological University is 34.0 Lakh Per Annum.
COEP Technological University,Facilities,Does COEP Technological University have a hostel and what is the fee?,"Yes, COEP Technological University has a hostel for both boys and girls. The fee is 57874 and the mess fee is 44623."
COEP Technological University,Facilities,What are the library timings for COEP Technological University?,The library timings for COEP Technological University are 8:00 AM to 8:00 PM.
COEP Technological University,Academics,What is the attendance rule at COEP Technological University?,The attendance rule at COEP Technological University is Minimum 75% attendance mandatory.
Dayalbagh Educational Institute,Fees,What is the tuition fee for Dayalbagh Educational Institute?,The tuition fee for Dayalbagh Educational Institute is 112362 per semester.
Dayalbagh Educational Institute,Placements,What is the highest placement package at Dayalbagh Educational Institute?,The highest placement package at Dayalbagh Educational Institute is 27.6 Lakh Per Annum.
Dayalbagh Educational Institute,Facilities,Does Dayalbagh Educational Institute have a hostel and what is the fee?,"Yes, Dayalbagh Educational Institute has a hostel for both boys and girls. The fee is 64280 and the mess fee is 30679."
Dayalbagh Educational Institute,Facilities,What are the library timings for Dayalbagh Educational Institute?,The library timings for Dayalbagh Educational Institute are 8:00 AM to 8:00 PM.
Dayalbagh Educational Institute,Academics,What is the attendance rule at Dayalbagh Educational Institute?,The attendance rule at Dayalbagh Educational Institute is Minimum 75% attendance mandatory.
Dibrugarh University,Fees,What is the tuition fee for Dibrugarh University?,The tuition fee for Dibrugarh University is 109944 per semester.
Dibrugarh University,Placements,What is the highest placement package at Dibrugarh University?,The highest placement package at Dibrugarh University is 31.5 Lakh Per Annum.
Dibrugarh University,Facilities,Does Dibrugarh University have a hostel and what is the fee?,"Yes, Dibrugarh University has a hostel for both boys and girls. The fee is 75408 and the mess fee is 27684."
Dibrugarh University,Facilities,What are the library timings for Dibrugarh University?,The library timings for Dibrugarh University are 8:00 AM to 8:00 PM.
Dibrugarh University,Academics,What is the attendance rule at Dibrugarh University?,The attendance rule at Dibrugarh University is Minimum 75% attendance mandatory.
Dravidian University,Fees,What is the tuition fee for Dravidian University?,The tuition fee for Dravidian University is 115874 per semester.
Dravidian University,Placements,What is the highest placement package at Dravidian University?,The highest placement package at Dravidian University is 29.8 Lakh Per Annum.
Dravidian University,Facilities,Does Dravidian University have a hostel and what is the fee?,"Yes, Dravidian University has a hostel for both boys and girls. The fee is 54529 and the mess fee is 34685."
Dravidian University,Facilities,What are the library timings for Dravidian University?,The library timings for Dravidian University are 8:00 AM to 8:00 PM.
Dravidian University,Academics,What is the attendance rule at Dravidian University?,The attendance rule at Dravidian University is Minimum 75% attendance mandatory.
University of Delhi,Fees,What is the tuition fee for University of Delhi?,The tuition fee for University of Delhi is 125610 per semester.
University of Delhi,Placements,What is the highest placement package at University of Delhi?,The highest placement package at University of Delhi is 35.2 Lakh Per Annum.
University of Delhi,Facilities,Does University of Delhi have a hostel and what is the fee?,"Yes, University of Delhi has a hostel for both boys and girls. The fee is 67843 and the mess fee is 37445."
University of Delhi,Facilities,What are the library timings for University of Delhi?,The library timings for University of Delhi are 8:00 AM to 8:00 PM.
University of Delhi,Academics,What is the attendance rule at University of Delhi?,The attendance rule at University of Delhi is Minimum 75% attendance mandatory.
Dr. D.Y. Patil University,Fees,What is the tuition fee for Dr. D.Y. Patil University?,The tuition fee for Dr. D.Y. Patil University is 62907 per semester.
Dr. D.Y. Patil University,Placements,What is the highest placement package at Dr. D.Y. Patil University?,The highest placement package at Dr. D.Y. Patil University is 18.3 Lakh Per Annum.
Dr. D.Y. Patil University,Facilities,Does Dr. D.Y. Patil University have a hostel and what is the fee?,"Yes, Dr. D.Y. Patil University has a hostel for both boys and girls. The fee is 49562 and the mess fee is 35973."
Dr. D.Y. Patil University,Facilities,What are the library timings for Dr. D.Y. Patil University?,The library timings for Dr. D.Y. Patil University are 8:00 AM to 8:00 PM.
Dr. D.Y. Patil University,Academics,What is the attendance rule at Dr. D.Y. Patil University?,The attendance rule at Dr. D.Y. Patil University is Minimum 75% attendance mandatory.
Eiilm University,Fees,What is the tuition fee for Eiilm University?,The tuition fee for Eiilm University is 77259 per semester.
Eiilm University,Placements,What is the highest placement package at Eiilm University?,The highest placement package at Eiilm University is 21.5 Lakh Per Annum.
Eiilm University,Facilities,Does Eiilm University have a hostel and what is the fee?,"Yes, Eiilm University has a hostel for both boys and girls. The fee is 52841 and the mess fee is 31400."
Eiilm University,Facilities,What are the library timings for Eiilm University?,The library timings for Eiilm University are 8:00 AM to 8:00 PM.
Eiilm University,Academics,What is the attendance rule at Eiilm University?,The attendance rule at Eiilm University is Minimum 75% attendance mandatory.
Fatima Mata National College,Fees,What is the tuition fee for Fatima Mata National College?,The tuition fee for Fatima Mata National College is 65661 per semester.
Fatima Mata National College,Placements,What is the highest placement package at Fatima Mata National College?,The highest placement package at Fatima Mata National College is 28.9 Lakh Per Annum.
Fatima Mata National College,Facilities,Does Fatima Mata National College have a hostel and what is the fee?,"Yes, Fatima Mata National College has a hostel for both boys and girls. The fee is 51922 and the mess fee is 37367."
Fatima Mata National College,Facilities,What are the library timings for Fatima Mata National College?,The library timings for Fatima Mata National College are 8:00 AM to 8:00 PM.
Fatima Mata National College,Academics,What is the attendance rule at Fatima Mata National College?,The attendance rule at Fatima Mata National College is Minimum 75% attendance mandatory.
Forest Research Institute Dehradun,Fees,What is the tuition fee for Forest Research Institute Dehradun?,The tuition fee for Forest Research Institute Dehradun is 109799 per semester.
Forest Research Institute Dehradun,Placements,What is the highest placement package at Forest Research Institute Dehradun?,The highest placement package at Forest Research Institute Dehradun is 35.7 Lakh Per Annum.
Forest Research Institute Dehradun,Facilities,Does Forest Research Institute Dehradun have a hostel and what is the fee?,"Yes, Forest Research Institute Dehradun has a hostel for both boys and girls. The fee is 59368 and the mess fee is 41772."
Forest Research Institute Dehradun,Facilities,What are the library timings for Forest Research Institute Dehradun?,The library timings for Forest Research Institute Dehradun are 8:00 AM to 8:00 PM.
Forest Research Institute Dehradun,Academics,What is the attendance rule at Forest Research Institute Dehradun?,The attendance rule at Forest Research Institute Dehradun is Minimum 75% attendance mandatory.
Govind Ballabh Pant University of Agriculture and Technology,Fees,What is the tuition fee for Govind Ballabh Pant University of Agriculture and Technology?,The tuition fee for Govind Ballabh Pant University of Agriculture and Technology is 2026 per semester.
Govind Ballabh Pant University of Agriculture and Technology,Placements,What is the highest placement package at Govind Ballabh Pant University of Agriculture and Technology?,The highest placement package at Govind Ballabh Pant University of Agriculture and Technology is 23.4 Lakh Per Annum.
Govind Ballabh Pant University of Agriculture and Technology,Facilities,Does Govind Ballabh Pant University of Agriculture and Technology have a hostel and what is the fee?,"Yes, Govind Ballabh Pant University of Agriculture and Technology has a hostel for both boys and girls. The fee is 83217 and the mess fee is 43469."
Govind Ballabh Pant University of Agriculture and Technology,Facilities,What are the library timings for Govind Ballabh Pant University of Agriculture and Technology?,The library timings for Govind Ballabh Pant University of Agriculture and Technology are 8:00 AM to 8:00 PM.
